,OP_UNIQUE_CARRIER,TAXI_OUT,CARRIER_DELAY,NAS_DELAY
0,9E,25.043995788492296,19.370639285100534,15.959615054133012
1,AA,19.78627259479738,17.952826725403817,14.525895741556534
2,AS,21.589706246049847,12.304146179865397,20.366670153781776
3,B6,20.612839209894776,22.046946612164003,16.79043313101284
4,DL,18.168674544975783,18.38880649526387,17.685694181326117
5,EV,21.92895352891368,28.929989084052792,13.468988786345143
6,F9,17.74929149954315,20.175108845704578,13.118933843049804
7,G4,16.016720179317865,22.589138978206503,13.295462665237585
8,HA,18.31668655190046,49.97495361781076,0.7764378478664193
9,MQ,21.96811386127735,10.440012774564423,13.91047159433661
10,NK,16.35523621538859,12.548543454025495,38.47680674712811
11,OH,19.575941169698364,17.139888648878884,8.948066567282241
12,OO,23.09494666329832,21.99154760315129,12.894311657097075
13,UA,20.76130693027525,13.289968811790366,19.691277493527938
14,VX,20.9959764134582,14.786404293381038,23.050447227191412
15,WN,13.638194787508178,16.46187018227462,8.182898374390685
16,YV,19.296687286342177,25.958762091956682,9.461402088873474
17,YX,23.525889154550825,14.101886686506822,18.425374810489078
